Law ID,ST,Law Class,Handguns or Long Guns,Effect,Type of Change,Year,Suicides,Homicides,Content,sentiment_score,sentiment_label,s_before,s_after,Sui_Diff,h_before,h_after,Hom_Diff,Num_Laws,State,universl,permit,HuntLic,GunsAmmo,BackChk,avg_own_est
AK1030,AK,background checks,handgun,Restrictive,Implement,1994,15.57,3.33,Beginning on the date that is   days after the date of enactment of this subsection and ending on the day before the date that is   months after such date of enactment  it shall be unlawful for any licensed importer  licensed manufacturer  or licensed dealer to sell  deliver  or transfer a handgun to an individual who is not licensed under section    unless     the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal  State  or local law ,0.9986502528190613,NEGATIVE,10.56,14.1075,33.6,3.08,3.875,25.8,3,Alaska,0.0,0.0,0.528531807,3.934617582,,0.523671224
AK1031,AK,background checks,long gun,Restrictive,Implement,1998,14.65,4.34,Beginning on the date that is   days after the Attorney General notifies licensees under section    of the transferee containing a photograph of the transferee ,0.9770532846450806,NEGATIVE,12.771428571428572,14.088999999999999,10.3,3.8528571428571428,3.7129999999999996,-3.6,2,Alaska,0.0,0.0,0.552303921,3.266201217,,0.41911213
AK1041,AK,waiting period,handgun,Restrictive,Implement,1994,15.57,3.33,Beginning on the date that is   days after the date of enactment of this subsection and ending on the day before the date that is   months after such date of enactment  it shall be unlawful for any licensed importer  licensed manufacturer  or licensed dealer to sell  deliver  or transfer a handgun to an individual who is not licensed under section    unless   the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal  State  or local law,0.9986502528190613,NEGATIVE,10.56,14.1075,33.6,3.08,3.875,25.8,3,Alaska,0.0,0.0,0.528531807,3.934617582,,0.523671224
AK1042,AK,waiting period,handgun,Permissive,Repeal,1998,14.65,4.34, Repealed ,0.9758800268173218,NEGATIVE,12.771428571428572,14.088999999999999,10.3,3.8528571428571428,3.7129999999999996,-3.6,2,Alaska,0.0,0.0,0.552303921,3.266201217,,0.41911213
AZ1002,AZ,background checks,long gun,Restrictive,Implement,1994,12.29,7.38,Repealed ,0.9758800268173218,NEGATIVE,12.049999999999999,9.823749999999999,-18.5,5.763333333333333,5.251666666666667,-8.9,5,Arizona,0.0,0.0,0.285970711,0.595246727,,0.424661512
AZ1004,AZ,background checks,long gun,Restrictive,Implement,1998,10.99,5.82,If the Brady Handgun Violence Protection Act   is repealed or if there is a final determination by court of competent jurisdiction that the Brady Handgun Violence Protection Act is unconstitutional  this section is repealed  Laws    Ch          Amended by Laws    Ch          effective        by Laws        A  The department of public safety shall establish an instant background check system  The department shall conduct background checks to determine whether purchases  sales or transfers of firearms to any person violate any federal law or any law of this state prohibiting the possession of firearms  B  The instant background check system shall be known as the Arizona firearms clearance center  The firearms clearance center shall establish procedures for providing information to licensed firearms dealers regarding whether a purchaser or transferee is a felon  is a fugitive from justice or is disqualified from lawfully possessing a firearm by any federal law or law of this state ,0.9978227615356445,NEGATIVE,11.745714285714286,9.55,-18.7,6.4957142857142856,4.970999999999999,-23.5,3,Arizona,0.0,0.0,0.253215494,0.291716181,,0.399501561
AZ1006,AZ,carrying a concealed weapon (ccw),handgun,Permissive,Implement,1994,12.29,7.38,E  The department of public safety shall issue a permit to an applicant who meets all of the following conditions     Is a resident of this state     Is twenty one years of age or older     Is not under indictment for and has not been convicted in any jurisdiction of a felony     Does not suffer from mental illness and has not been adjudicated mentally incompetent or committed to a mental institution    Is not unlawfully present in the United States     Satisfactorily completes a firearms safety training program approved by the department of public safety pursuant to subsection N of this section  This paragraph does not apply to a person who has honorably retired as a federal  state or local peace officer with a minimum of ten years of service ,0.9917226433753967,NEGATIVE,12.049999999999999,9.823749999999999,-18.5,5.763333333333333,5.251666666666667,-8.9,5,Arizona,0.0,0.0,0.285970711,0.595246727,,0.424661512
AZ1007,AZ,carrying a concealed weapon (ccw),handgun,Permissive,Modify,2010,9.53,4.36,A person commits misconduct involving weapons by knowingly     Carrying a deadly weapon except a pocket knife concealed on his person or within his immediate control in or on a means of transportation    When contacted by a law enforcement officer and failing to accurately answer the officer if the officer asks whether the person is carrying a concealed deadly weapon  or    Carrying a deadly weapon except a pocket knife concealed on his person or concealed within his immediate control in or on a means of transportation if the person is under twenty one years of age ,0.9990474581718445,NEGATIVE,10.250526315789473,9.99,-2.5,6.01578947368421,4.00625,-33.4,1,Arizona,0.0,0.0,0.243934552,0.169366635,-0.527318979,0.3282503005
AZ1009,AZ,castle doctrine,handgun and long gun,Permissive,Modify,2006,9.27,6.42,There is no duty to retreat before threatening or using physical force or deadly physical force justified by subsection A of this section     This section is not limited to the use or threatened use of physical or deadly physical force in a person s home  residence  place of business  land the person owns or leases  conveyance of any kind  or any other place in this state where a person has a right to be ,0.9733721613883972,POSITIVE,10.578,9.689166666666667,-8.4,6.208,4.264166666666667,-31.3,1,Arizona,0.0,0.0,0.243212951,0.207519895,-0.350898544,0.350953786
AZ1012,AZ,minimum age,handgun,Restrictive,Implement,1993,12.75,5.73,A  Except as provided in subsection B  an unemancipated person who is under eighteen years of age and who is unaccompanied by a parent  grandparent or guardian  or a certified hunter safety instructor or certified firearms safety instructor acting with the consent of the unemancipated person s parent or guardian  shall not knowingly carry or possess on his person  within his immediate control  or in or on a means of transportation a firearm in any place that is open to the public or on any street or highway or on any private property except private property owned or leased by the minor or the minor s parent  grandparent or guardian ,0.979385256767273,NEGATIVE,11.7,9.9224,-15.2,5.78,5.3368,-7.7,2,Arizona,0.0,0.0,0.287109845,0.703305352,,0.4816122745
AZ1022,AZ,minimum age,long gun,Restrictive,Implement,1993,12.75,5.73,A  Except as provided in subsection B  an unemancipated person who is under eighteen years of age and who is unaccompanied by a parent  grandparent or guardian  or a certified hunter safety instructor or certified firearms safety instructor acting with the consent of the unemancipated person s parent or guardian  shall not knowingly carry or possess on his person  within his immediate control  or in or on a means of transportation a firearm in any place that is open to the public or on any street or highway or on any private property except private property owned or leased by the minor or the minor s parent  grandparent or guardian ,0.979385256767273,NEGATIVE,11.7,9.9224,-15.2,5.78,5.3368,-7.7,2,Arizona,0.0,0.0,0.287109845,0.703305352,,0.4816122745
AZ1027,AZ,prohibited possessor,handgun and long gun,Restrictive,Implement,1996,10.87,6.48,If the court finds that the defendant is a credible threat to the physical safety of the plaintiff or other specifically designated persons  prohibit the defendant from possessing or purchasing a firearm for the duration of the order   If the court prohibits the defendant from possessing a firearm  the court shall also order the defendant to transfer any firearm owned or possessed by the defendant immediately after service of the order to the appropriate law enforcement agency for the duration of the order   If the defendant does not immediately transfer the firearm  the defendant shall transfer the firearm within twenty four hours after service of the order ,0.9959455132484436,NEGATIVE,12.161999999999999,9.660454545454545,-20.6,6.6259999999999994,5.05,-23.8,2,Arizona,0.0,0.0,0.267651527,0.318777335,,0.37894407799999996
AZ1028,AZ,prohibited possessor,handgun and long gun,Restrictive,Implement,1996,10.87,6.48,If the court finds that the defendant is a credible threat to the physical safety of the plaintiff or other specifically designated persons  prohibit the defendant from possessing or purchasing a firearm for the duration of the order   If the court prohibits the defendant from possessing a firearm  the court shall also order the defendant to transfer any firearm owned or possessed by the defendant immediately after service of the order to the appropriate law enforcement agency for the duration of the order   If the defendant does not immediately transfer the firearm  the defendant shall transfer the firearm within twenty four hours after service of the order ,0.9959455132484436,NEGATIVE,12.161999999999999,9.660454545454545,-20.6,6.6259999999999994,5.05,-23.8,2,Arizona,0.0,0.0,0.267651527,0.318777335,,0.37894407799999996
AZ1029,AZ,prohibited possessor,handgun and long gun,Restrictive,Implement,2009,9.44,3.69,  Prohibited possessor  means any person      has been found to constitute a danger to himself or to others or to be persistently or acutely disabled or gravely disabled pursuant to court order under section      and whose court ordered treatment has not been terminated by court order right to possess a firearm has not been restored pursuant to section      A R S       A person commits misconduct involving weapons by knowingly     Possessing a deadly weapon or prohibited weapon if such person is a prohibited possessor,0.9964273571968079,NEGATIVE,10.295555555555556,9.93888888888889,-3.5,6.145,4.045555555555556,-34.2,2,Arizona,0.0,0.0,0.24761532,0.146842367,-0.591589416,0.435879906
AZ1030,AZ,prohibited possessor,handgun and long gun,Restrictive,Implement,2009,9.44,3.69,  Domestic violence  means any act which is a dangerous crime against children as defined in section     or an offense defined in section     through          through          through     or      section      section      subsection A  paragraph         or    section     or section                             or      if any of the following applies     The relationship between the victim and the defendant is currently or was previously a romantic or sexual relationship  The following factors may be considered in determining whether the relationship between the victim and the defendant is currently or was previously a romantic or sexual relationship    If the relationship has terminated  the length of time since the termination ,0.9965272545814514,NEGATIVE,10.295555555555556,9.93888888888889,-3.5,6.145,4.045555555555556,-34.2,2,Arizona,0.0,0.0,0.24761532,0.146842367,-0.591589416,0.435879906
AZ1031,AZ,prohibited possessor,handgun and long gun,Restrictive,Modify,2014,9.64,3.31,A R S           Prohibited possessor  means any person    Who is found guilty except insane   A R S       A person commits misconduct involving weapons by knowingly     Possessing a deadly weapon or prohibited weapon if such person is a prohibited possessor,0.9885333776473999,NEGATIVE,10.162608695652173,10.2075,0.4,5.676086956521738,4.2124999999999995,-25.8,1,Arizona,0.0,0.0,0.236577548,0.136861033,-0.516806432,0.368824415
AZ1037,AZ,background checks,handgun,Restrictive,Implement,1998,10.99,5.82,If the Brady Handgun Violence Protection Act   is repealed or if there is a final determination by court of competent jurisdiction that the Brady Handgun Violence Protection Act is unconstitutional  this section is repealed  Laws    Ch          Amended by Laws    Ch          effective        by Laws        A  The department of public safety shall establish an instant background check system  The department shall conduct background checks to determine whether purchases  sales or transfers of firearms to any person violate any federal law or any law of this state prohibiting the possession of firearms  B  The instant background check system shall be known as the Arizona firearms clearance center  The firearms clearance center shall establish procedures for providing information to licensed firearms dealers regarding whether a purchaser or transferee is a felon  is a fugitive from justice or is disqualified from lawfully possessing a firearm by any federal law or law of this state ,0.9978227615356445,NEGATIVE,11.745714285714286,9.55,-18.7,6.4957142857142856,4.970999999999999,-23.5,3,Arizona,0.0,0.0,0.253215494,0.291716181,,0.399501561
AZ1038,AZ,background checks,handgun,Restrictive,Implement,1994,12.29,7.38,Beginning on the date that is   days after the date of enactment of this subsection and ending on the day before the date that is   months after such date of enactment  it shall be unlawful for any licensed importer  licensed manufacturer  or licensed dealer to sell  deliver  or transfer a handgun to an individual who is not licensed under section    unless     the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal  State  or local law ,0.9986502528190613,NEGATIVE,12.049999999999999,9.823749999999999,-18.5,5.763333333333333,5.251666666666667,-8.9,5,Arizona,0.0,0.0,0.285970711,0.595246727,,0.424661512
AZ1039,AZ,background checks,long gun,Restrictive,Implement,1998,10.99,5.82,Beginning on the date that is   days after the Attorney General notifies licensees under section    of the transferee containing a photograph of the transferee ,0.9770532846450806,NEGATIVE,11.745714285714286,9.55,-18.7,6.4957142857142856,4.970999999999999,-23.5,3,Arizona,0.0,0.0,0.253215494,0.291716181,,0.399501561
AZ1046,AZ,waiting period,handgun,Restrictive,Implement,1994,12.29,7.38,Beginning on the date that is   days after the date of enactment of this subsection and ending on the day before the date that is   months after such date of enactment  it shall be unlawful for any licensed importer  licensed manufacturer  or licensed dealer to sell  deliver  or transfer a handgun to an individual who is not licensed under section    unless   the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal  State  or local law,0.9986502528190613,NEGATIVE,12.049999999999999,9.823749999999999,-18.5,5.763333333333333,5.251666666666667,-8.9,5,Arizona,0.0,0.0,0.285970711,0.595246727,,0.424661512
AZ1047,AZ,waiting period,handgun,Permissive,Repeal,1994,12.29,7.38,Repealed because A R S          was implemented  A R S           By        the department of public safety shall estbalish an instant background check system ,0.9979700446128845,NEGATIVE,12.049999999999999,9.823749999999999,-18.5,5.763333333333333,5.251666666666667,-8.9,5,Arizona,0.0,0.0,0.285970711,0.595246727,,0.424661512
AR1003,AR,carrying a concealed weapon (ccw),handgun,Permissive,Modify,1995,10.41,8.35,The Director of the Department of Arkansas State Police shall issue a license to carry a concealed handgun if the applicant   lists criteria   ,0.9329614639282227,NEGATIVE,9.465,9.700434782608694,2.5,8.46,5.5978260869565215,-33.8,1,Arkansas,0.0,0.0,0.424544541,-0.119207994,,
AR1025,AR,carrying a concealed weapon (ccw),handgun,Permissive,Modify,2018,11.1,6.69,Merely possessing a weapon is not a crime in the State of Arkansas  See Ark  Code Ann           ,0.8410107493400574,NEGATIVE,9.64,,,6.083333333333333,,,1,,,,,,,
AR1030,AR,background checks,handgun,Restrictive,Implement,1994,10.46,8.17,Beginning on the date that is   days after the date of enactment of this subsection and ending on the day before the date that is   months after such date of enactment  it shall be unlawful for any licensed importer  licensed manufacturer  or licensed dealer to sell  deliver  or transfer a handgun to an individual who is not licensed under section    unless     the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal  State  or local law ,0.9986502528190613,NEGATIVE,9.133333333333335,9.73,6.5,8.556666666666667,5.7124999999999995,-33.2,2,Arkansas,0.0,0.0,0.424175822,-0.123750118,,0.572602297
AR1031,AR,background checks,handgun,Permissive,Modify,1997,9.34,7.61,The Supreme Court ruled that the interim provision of the Brady Act couldn t require sheriffs to perform background checks ,0.9812387228012085,POSITIVE,9.583333333333334,9.739999999999998,1.6,8.101666666666668,5.462857142857143,-32.6,2,Arkansas,0.0,0.0,0.435839609,0.094603968,,0.5931901900000001
AR1032,AR,background checks,handgun,Restrictive,Implement,1998,9.54,6.01,Beginning on the date that is   days after the Attorney General notifies licensees under section    of the transferee containing a photograph of the transferee ,0.9770532846450806,NEGATIVE,9.54857142857143,9.749999999999998,2.1,8.031428571428572,5.4355,-32.3,2,Arkansas,0.0,0.0,0.433909473,0.337556376,,
AR1033,AR,background checks,long gun,Restrictive,Modify,1998,9.54,6.01,Beginning on the date that is   days after the Attorney General notifies licensees under section    of the transferee containing a photograph of the transferee ,0.9770532846450806,NEGATIVE,9.54857142857143,9.749999999999998,2.1,8.031428571428572,5.4355,-32.3,2,Arkansas,0.0,0.0,0.433909473,0.337556376,,
AR1039,AR,waiting period,handgun,Restrictive,Implement,1994,10.46,8.17,Beginning on the date that is   days after the date of enactment of this subsection and ending on the day before the date that is   months after such date of enactment  it shall be unlawful for any licensed importer  licensed manufacturer  or licensed dealer to sell  deliver  or transfer a handgun to an individual who is not licensed under section    unless   the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal  State  or local law,0.9986502528190613,NEGATIVE,9.133333333333335,9.73,6.5,8.556666666666667,5.7124999999999995,-33.2,2,Arkansas,0.0,0.0,0.424175822,-0.123750118,,0.572602297
AR1040,AR,waiting period,handgun,Permissive,Repeal,1997,9.34,7.61,The Supreme Court ruled that State participation in the Brady checks must not be mandatory,0.9082682728767395,NEGATIVE,9.583333333333334,9.739999999999998,1.6,8.101666666666668,5.462857142857143,-32.6,2,Arkansas,0.0,0.0,0.435839609,0.094603968,,0.5931901900000001
CA1001,CA,background checks,long gun,Restrictive,Implement,1991,6.91,8.74,     Transaction where neither party holds a dealer s license  Where neither party to the transaction holds a dealer s license issued pursuant to Sections   to    inclusive  the parties to the transaction shall complete the sale  loan  or transfer of that firearm through a licensed firearms dealer pursuant to Chapter     ,0.9966667294502258,NEGATIVE,,4.66925925925926,,,4.939629629629629,,4,California,1.0,0.0,0.154076373,-0.019359884,,0.3525190595
CA1004,CA,background checks,long gun,Restrictive,Modify,2012,3.99,3.5,  of Section   of Title   of the United States Code  and  if that participation is implemented  shall notify the dealer and the chief of the police department of the city or city and county in which the sale was made  or if the sale was made in a district in which there is no municipal police department  the sheriff of the county in which the sale was made  that the purchaser is a person prohibited from acquiring a firearm under federal law ,0.9931656718254089,NEGATIVE,5.034761904761904,3.8766666666666665,-23.0,5.620952380952382,3.428333333333333,-39.0,2,California,1.0,1.0,0.150334464,-1.385960469,-1.181694977,0.2720075656666667
CA1005,CA,background checks,long gun,Restrictive,Implement,1991,6.91,8.74,  The department shall examine its records  as well as those records that it is authorized to request from the State Department of Mental Health pursuant to Section   of the Welfare and Institutions Code  in order to determine if the purchaser or transferee is a person described in Section   or     of this code or Section   or   of the Welfare and Institutions Code  If the department determines that the purchaser or transferee is a person described in Section   or     of this code or Section   or   of the Welfare and Institutions Code  it shall immediately notify the dealer and the chief of the police department of the city or county in which the sale or transfer was made  or if the sale or transfer was made in a district in which there is no municipal police department  the sheriff of the county in which the sale or transfer was made  of that fact ,0.9883310198783875,NEGATIVE,,4.66925925925926,,,4.939629629629629,,4,California,1.0,0.0,0.154076373,-0.019359884,,0.3525190595
CA1011,CA,child access laws,handgun and long gun,Restrictive,Implement,1992,6.89,9.21,  The person who keeps a loaded firearm on any premise which is under his or her custody or control has no reasonable expectation  based on objective facts and circumstances  that a child is likely to be present on the premise ,0.996663510799408,NEGATIVE,6.91,4.583846153846154,-33.7,8.74,4.775384615384615,-45.4,1,California,1.0,0.0,0.151101858,-0.102750319,,
CA1012,CA,child access laws,handgun and long gun,Restrictive,Modify,2014,3.9,3.14,Except as provided in Section    a person commits the crime of  criminal storage of a firearm in the first degree  if all of the following conditions are satisfied    The child obtains access to the firearm and thereby causes death or great bodily injury to the child or any other person  or the person prohibited from possessing a firearm or deadly weapon pursuant to state or federal law obtains access to the firearm and thereby causes death or great bodily injury to himself or herself or any other person ,0.9893080592155457,NEGATIVE,4.942608695652173,3.85,-22.1,5.43,3.52,-35.2,5,California,1.0,1.0,0.146260652,-1.477369406,-1.025822926,0.187158672
CA1015,CA,firearm sales restrictions,handgun,Restrictive,Implement,2001,4.45,4.4,      Unsafe handgun  As used in this part   unsafe handgun  means any pistol  revolver  or other firearm capable of being concealed upon the person  for which any of the following is true    It does not meet the drop safety requirement for handguns ,0.9993584752082825,NEGATIVE,6.0649999999999995,3.992941176470588,-34.2,6.975999999999999,3.997058823529411,-42.7,1,California,1.0,1.0,0.156527749,-1.124564832,-0.797075042,0.214033918
CA1023,CA,firearm sales restrictions,handgun,Restrictive,Implement,2000,4.67,4.21,      Application to purchase handgun  Limitations  Exceptions   A community college that is certified by the Commission on Peace Officer Standards and Training to present the law enforcement academy basic course or other commission certified law enforcement training ,0.6467769145965576,NEGATIVE,6.22,4.018333333333334,-35.4,7.283333333333333,4.019444444444444,-44.8,1,California,1.0,1.0,0.157698424,-1.125090262,-0.743360241,0.28960493966666667
CA1025,CA,open carry,handgun,Restrictive,Modify,2012,3.99,3.5,A person is guilty of openly carrying an unloaded handgun when that person carries upon his or her person an exposed and unloaded handgun outside a vehicle while in or on any of the following  A person is guilty of openly carrying an unloaded handgun when that person carries upon his or her person an exposed and unloaded handgun outside a vehicle while in or on any of the following    A public place in a prohibited area of a county or city and county  ,0.9959533214569092,NEGATIVE,5.034761904761904,3.8766666666666665,-23.0,5.620952380952382,3.428333333333333,-39.0,2,California,1.0,1.0,0.150334464,-1.385960469,-1.181694977,0.2720075656666667
CA1027,CA,open carry,long gun,Restrictive,Modify,2013,3.96,3.35,A person is guilty of carrying an unloaded firearm that is not a handgun in an incorporated city or city and county when that person carries upon his or her person an unloaded firearm that is not a handgun outside a vehicle while in the incorporated city or city and county ,0.988562822341919,NEGATIVE,4.987272727272726,3.8599999999999994,-22.6,5.524545454545454,3.444,-37.7,3,California,1.0,1.0,0.145863724,-1.434835333,-1.148382111,0.235708797
CA1032,CA,registration,long gun,Restrictive,Implement,2014,3.9,3.14,In order to assist in the investigation of crime  the prosecution of civil actions by city attorneys pursuant to paragraph   Dealers  records of sales of firearms ,0.7615414261817932,NEGATIVE,4.942608695652173,3.85,-22.1,5.43,3.52,-35.2,5,California,1.0,1.0,0.146260652,-1.477369406,-1.025822926,0.187158672
CA1034,CA,background checks,handgun,Restrictive,Implement,2014,3.9,3.14,   within   days of the dealer s original submission of purchaser information to the department pursuant to this section  the department shall immediately notify the dealer and the dealer may then immediately transfer the firearm to the purchaser  upon the dealer s recording on the register or record of electronic transfer the date that the firearm is transferred  the dealer signing the register or record of electronic transfer indicating delivery of the firearm to that purchaser  and the purchaser signing the register or record of electronic transfer acknowledging the receipt of the firearm on the date that the firearm is delivered to him or her  ,0.9921647310256958,NEGATIVE,4.942608695652173,3.85,-22.1,5.43,3.52,-35.2,5,California,1.0,1.0,0.146260652,-1.477369406,-1.025822926,0.187158672
CA1037,CA,waiting period,long gun,Restrictive,Implement,1997,5.7,5.87,A dealer  whether or not acting pursuant to Chapter     Within   days of the application to purchase  or  after notice by the department pursuant to Section    within   days of the submission to the department of any correction to the application  or within   days of the submission to the department of any fee required pursuant to Section    whichever is later  ,0.994931161403656,NEGATIVE,6.651666666666667,4.16047619047619,-37.5,8.513333333333334,4.055238095238095,-52.4,2,California,1.0,1.0,0.162568085,-0.844210401,,0.335262937
