Law ID,State,State Postal Abbreviation,FIPS Code,Law Class (num),Law Class,Law Class Subtype,Handguns or Long Guns,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Year,Effective Date Month,Effective Date Day,Statutory Citation,Content,Supersession Date,Supersession Date Year,Supersession Date Month,Supersession Date Day,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Exception Code
AL1024,Alabama,AL,01,10,prohibited possessor,mental health : adjudicated as mentally incompetent//incapacitated/disabled,handgun and long gun,Restrictive,Implement,2015-09-01,,2015,9,1,Ala.Code 1975 § 13A-11-72,"(a) No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence, misdemeanor offense of domestic violence, violent offense as listed in Section 12-25-32(15), anyone who is subject to a valid protection order for domestic abuse, or anyone of unsound mind shall own a firearm or have one in his or her possession or under his or her control.                                                       (o) The term “unsound mind” as used in this section includes any person who is subject to any of the findings listed below, and who has not had his or her rights to possess a firearm reinstated by operation of law or legal process:
(1) Found by a court, board, commission, or other lawful authority that, as a result of marked subnormal intelligence, mental illness, incompetency, condition, or disease, is a danger to himself or herself or others or lacks the mental capacity to contract or manage his or her own affairs.
",,,,,,,,"Individuals can have their ""rights to possess a firearm reinstated by operation of law or legal process."" Includes commitments after criminal trial.",,
AL1025,Alabama,AL,01,10,prohibited possessor,mental health : committed to mh facility,handgun and long gun,Restrictive,Implement,2015-09-01,,2015,9,1,Ala.Code 1975 § 13A-11-72,"(a) No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence, misdemeanor offense of domestic violence, violent offense as listed in Section 12-25-32(15), anyone who is subject to a valid protection order for domestic abuse, or anyone of unsound mind shall own a firearm or have one in his or her possession or under his or her control.                                                       (o) The term “unsound mind” as used in this section includes any person who is subject to any of the findings listed below, and who has not had his or her rights to possess a firearm reinstated by operation of law or legal process:

(2) Found to be insane, not guilty by reason of mental disease or defect, found mentally incompetent to stand trial, or found not guilty by a reason of lack of mental responsibility by a court in a criminal case, to include state, federal and military courts.
(3) Involuntarily committed for a final commitment for inpatient treatment to the Department of Mental Health or a Veterans' Administration hospital by a court after a hearing.",,,,,,,,"Individuals can have their ""rights to possess a firearm reinstated by operation of law or legal process."" Includes commitments after criminal trial.",,
AL1026,Alabama,AL,01,12,safety training required,,handgun,,,,,,,,,No law requiring safety training for handguns,,,,,,,,,,
AL1027,Alabama,AL,01,10,prohibited possessor,erpo,handgun and long gun,,,,,,,,,No law prohibiting possession of firearms by individuals subject to ERPO,,,,,1,,,,,
AL1028,Alabama,AL,01,10,prohibited possessor,dvro,handgun and long gun,,,,,,,,,No law prohibiting individuals subject to DVRO from possessing firearms,2015-06-04,2015,6,4,1,,,,,
AL1029,Alabama,AL,01,12,safety training required,,long gun,,,,,,,,,No law requiring safety training for long guns,,,,,1,,,,,
AL1030,Alabama,AL,01,7,minimum age,youth possession,long gun,,,,,,,,,No law imposing minimum age for youth possession of long guns,,,,,1,,,,,
AL1031,Alabama,AL,01,1,background checks,sales from dealer : federal,handgun,Restrictive,Implement,1994-02-28,,1994,2,28,18 U.S.C.A. § 922(t),"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 
(A) after the most recent proposal of such transfer by the transferee— 
(i) the transferor has— 
(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 
(II) verified the identity of the transferee by examining the identification document presented; 
(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 
(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or 
(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",,,,,,,,Part of the 1994 Brady Handgun Violence Prevention Act (Interim provisions),,
AL1032,Alabama,AL,01,1,background checks,sales from dealer : federal,long gun,Restrictive,Implement,1998-11-30,,1998,11,30,18 U.S.C.A. § 922(t)(1),"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—
(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;
(B) (i) the system provides the licensee with a unique identification number; or
(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and
(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",,,,,,,,The National Instant Criminal Background Check System (NICS) was created in 1998. The Brady Act's interim provisions  requiring background checks for handguns were struck down and replaced with the requirement to conduct background checks on all dealer sales.,,
AL1033,Alabama,AL,01,6,firearm sales restrictions,,handgun and long gun,,,,,,,,,No law imposing any firearm ban,,,,,1,,,,,
AL1034,Alabama,AL,01,8,open carry,not restricted,long gun,,,,,,,,,No law restricting open carry for long guns,,,,,1,,,,,
AL1035,Alabama,AL,01,9,permit to purchase,,handgun,,,,,,,,,No law requiring permit for the purchase of a handgun,,,,,1,,,,,
AL1036,Alabama,AL,01,9,permit to purchase,,long gun,,,,,,,,,No law requiring permit for the purchase of a long gun,,,,,1,,,,,
AL1037,Alabama,AL,01,3,castle doctrine,,handgun and long gun,Permissive,Implement,1900-01-01,"Not sure about year, so using 1/1/1900.",1900,1,1,,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).",1978-05-16,1978,5,16,,,,,,
AL1038,Alabama,AL,01,13,waiting period,,long gun,,,,,,,,,No law imposing waiting period for purchase of long guns,,,,,,,,,,
AL1039,Alabama,AL,01,14,firearm removal at scene of domestic violence,,handgun and long gun,,,,,,,,,No law concerning removal of firearms at scene of domestic violence incident,,,,,1,,,,,
AL1040,Alabama,AL,01,13,firearms in college/university,,handgun and long gun,,,,,,,,,No law concerning firearms on college or university campus,,,,,1,,,,,
AL1041,Alabama,AL,01,12,local laws preempted by state,,handgun and long gun,,,,,,,,,State law does not preempt local law,2013-08-01,2013,8,1,1,,,,,
AL1042,Alabama,AL,01,12,local laws preempted by state,comprehensive,handgun and long gun,Permissive,Implement,2013-08-01,,2013,1,2013,"Ala.Code 1975 § 13A-11-61.3(a), (e)","(a) The purpose of this section is to establish within the Legislature complete control over regulation and policy pertaining to firearms, ammunition, and firearm accessories in order to ensure that such regulation and policy is applied uniformly throughout this state to each person subject to the state's jurisdiction and to ensure protection of the right to keep and bear arms recognized by the Constitutions of the State of Alabama and the United States. This section is to be liberally construed to accomplish its purpose. (e) Any existing orders, ordinances, or rules promulgated or enforced contrary to the terms of this section are null and void and any future order, ordinance, or rules shall comply with this section.",,,,,,,,,"Exceptions: (g) This section shall not be construed to prevent any of the following:
(1) A duly organized law enforcement agency of a political subdivision from promulgating and enforcing rules pertaining to firearms, ammunition, or firearm accessories that it issues to or that are used by the political subdivision's peace officers in the course of their official duties.
(2) An employer from regulating or prohibiting an employee's carrying or possession of firearms, firearm accessories, or ammunition during and in the course of the employee's official duties.
(3) A prosecutor, court or administrative law judge from hearing and resolving a case or controversy or issuing an opinion or order on a matter within its jurisdiction.
(4) The enactment or enforcement of a generally applicable zoning or business ordinance that includes firearms businesses along with other businesses, provided that an ordinance designed or enforced effectively to restrict or prohibit the sale, purchase, transfer, manufacture, or display of firearms, ammunition, or firearm accessories that is otherwise lawful under the laws of this state is in conflict with this section and is void.
(5) A political subdivision from enacting and enforcing rules of operation and use for any firearm range owned or operated by the political subdivision.
(6) A political subdivision from sponsoring or conducting any firearm-related competition or educational or cultural program and from enacting and enforcing rules for participation in or attendance at such program, provided that nothing in this section authorizes or permits a political subdivision to offer remuneration for the surrender or transfer of a privately owned firearm to the political subdivision or another party as a method of reducing the number of privately owned firearms within the political subdivision.
(7) Any official of a political subdivision, a sheriff, or other law enforcement officer with appropriate authority and jurisdiction from enforcing any law enacted by the Legislature.
(8) A sheriff of a county from acting on an application for a permit under Section 13A-11-75.
(9) A political subdivision from leasing public property to another person or entity for a gun show or other firearm-related event on terms agreeable to both parties.
(10) The adoption or enforcement by a county or municipality of ordinances which make the violation of a state firearm law a violation of an ordinance, provided that the elements of the local ordinance may not differ from the state firearm law, nor may the local ordinance impose a higher penalty than what is imposed under the state firearm law.
(11) A municipality from regulating the discharge of firearms within the limits of the municipality or a county from exercising any authority it has under law, to regulate the discharge of firearms within the jurisdiction of the county. The discharge of a firearm in defense of one's self or family or in defense of one's property may not be construed to be a violation of state law or any ordinance or rule of a political subdivision of this state.",
AL1043,Alabama,AL,01,10,prohibited possessor,convicted of crime : removal,handgun and long gun,,,,,,,,,No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime,,,,,1,,,,,
AL1044,Alabama,AL,01,11,required reporting of lost or stolen firearms,,handgun and long gun,,,,,,,,,No law requiring reporting of lost or stolen firearms,,,,,1,,,,,
AK1001,Alaska,AK,02,1,background checks,private sales,handgun,,,,,,,,,No law requiring background checks for private sales of handguns,,,,,1,,,,,
AK1002,Alaska,AK,02,2,carrying a concealed weapon (ccw),prohibited,handgun,Restrictive,Implement,1978-01-01,See additional notes and comments about this date,1978,1,1,Alaska Stat. § 11.55.010,"It is unlawful for a person to carry concealed about his person, in any manner, [enumerated weapons].",1994-10-01,1994,10,1,1,,,"Prior law prohibiting concealed carry enacted before 1966. Carl Bakal, ""The Right to Bear Arms."". Replaced by  § 11.61.220 in 1978, which says ""a person commits the crime of misconduct involving weapons in the third degree if he‚…knowingly possesses a deadly weapon other than an ordinary pocket knife, that is concealed on his person.",,
AK1003,Alaska,AK,02,2,carrying a concealed weapon (ccw),shall issue,handgun,Permissive,Modify,1994-10-01,,1994,10,1,Permit rules described in Alaska Stat. § 18.65.700 et seq.,"Sec. 18.65.700. Permit to carry a concealed handgun.
(a) The department shall issue a permit to carry a concealed handgun to a person who
(1) applies in person at an office of the Alaska State Troopers;
(2) qualifies under AS 18.65.705;
(3) submits on an application form approved by the department the information required under AS 18.65.705 and 18.65.710; the department shall post on the department's website the state laws and regulations relating to concealed handguns, which must include a concise summary of where, when, and by whom a handgun can be carried under state and federal law and shall, on request, mail a copy of the regulations and summary to an applicant or permittee;
(4) submits one complete set of fingerprints in the format approved by the department that is of sufficient quality so that the fingerprints may be processed; the fingerprints must be taken by a person, group, or agency approved by the department; the department shall maintain a list of persons, groups, or agencies approved to take fingerprints and shall provide the list to the public upon request; the fingerprints shall be used to obtain a report of criminal justice information under AS 12.62 and a national criminal history record check under AS 12.62.400;
(5) submits evidence of successful completion of a handgun course as provided in AS 18.65.715;
(6) provides one frontal view color photograph of the person taken within the preceding 30 days that includes the head and shoulders of the person and is of a size specified by the department;
(7) shows a valid Alaska driver's license or identification card at the time of application;
(8) does not suffer a physical infirmity that prevents the safe handling of a handgun; and
(9) pays the application fee required by AS 18.65.720.",2003-09-09,2003,9,9,,,,,,
AK1004,Alaska,AK,02,2,carrying a concealed weapon (ccw),shall issue (permit not required),handgun,Permissive,Modify,2003-09-09,,2003,9,9,Permit-less CCW allowed through change to Alaska Stat. § 11.61.220; Permit rules described in Alaska Stat. § 18.65.700 et seq.,"§ 11.61.220(a) A person commits the crime of misconduct involving weapons in the fifth degree if the person
(1) is 21 years of age or older and knowingly possesses a deadly weapon, other than an ordinary pocket knife or a defensive weapon,
(A) that is concealed on the person, and, when contacted by a peace officer, the person fails to
(i) immediately inform the peace officer of that possession; or
(ii) allow the peace officer to secure the deadly weapon, or fails to secure the weapon at the direction of the peace officer, during the duration of the contact;
(B) that is concealed on the person within the residence of another person unless the person has first obtained the express permission of an adult residing there to bring a concealed deadly weapon within the residence;
(2) knowingly possesses a loaded firearm on the person in any place where intoxicating liquor is sold for consumption on the premises.",,,,,,,,"Permitting system maintained for residents seeking reciprocity with other states or ""those who seek to be exempt from background checks when purchasing additional firearms"" (""Concealed Weapons Permitting,"" Giffords Law Center to Prevent Gun Violence, undated).",,
AK1005,Alaska,AK,02,3,castle doctrine,,handgun and long gun,Permissive,Modify,1978-01-01,"Not sure about day + month, so using January 1.",1978,1,1,"SLA 1978, Ch. 166, § 10","b) A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others the person can avoid the necessity of using deadly force entreating, except there is no duty to leave the area retreat if the person is
(1) on premises
(A) which the person owns or leases.",2006-09-13,2006,9,13,1,,,See 2006 S.B. No. 200 Ch. 68.,,
AK1050,Alaska,AK,02,3,castle doctrine,stand your ground,handgun and long gun,Permissive,Modify,2013-09-18,,2013,9,18,Ak. Stat. Ann. § 11.81.335,"A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others being defended, the person can avoid the necessity of using deadly force by leaving the area of the encounter, except there is no duty to leave the area if the person is 
(1) on premises (A) that the person owns or leases; (B) where the person resides, temporarily or permanently; or (C) as a guest or express or implied agent of the owner, lessor, or resident; 
(2) a peace officer acting within the scope and authority of the officer's employment or a person assisting a peace officer under AS 11.81.380;
(3) in a building where the person works in the ordinary course of the person's employment;
(4) protecting a child or a member of the person's household; or
(5) in any other place where the person has a right to be. ",,,,,,,,,,
AK1006,Alaska,AK,02,3,castle doctrine,expanded 2,handgun and long gun,Permissive,Modify,2006-09-13,,2006,9,13,Ak. Stat. Ann. § 11.81.335,"A person may not use deadly force under this section if the person knows that, with complete personal safety and with complete safety as to others being defended, the person can avoid the necessity of using deadly force by leaving the area of the encounter, except there is no duty to leave the area if the person is 
(1) on premises (A) that the person owns or leases; (B) where the person resides, temporarily or permanently; or (C) as a guest or express or implied agent of the owner, lessor, or resident; 
(2) a peace officer acting within the scope and authority of the officer's employment or a person assisting a peace officer under AS 11.81.380;
(3) in a building where the person works in the ordinary course of the person's employment;
(4) protecting a child or a member of the person's household;",2013-09-18,2013,9,18,,,,,Catagorized as expanded 2 because removes duty to retreat in instances where a person is a guest at a residence,
AK1007,Alaska,AK,02,4,child access laws,"intentional, reckless, or knowing provision",handgun and long gun,,,,,,,,,"No law imposing child access laws - intentional, reckless, or knowing provision",,,,,1,,,,,
AK1008,Alaska,AK,02,5,dealer license,,handgun,,,,,,,,,No law requiring dealer license for handguns,,,,,1,,,,,
AK1009,Alaska,AK,02,7,minimum age,youth possession,long gun,Restrictive,Implement,1980-01-01,,1980,1,1,Alaska Stat. § 11.61.220(a)(3),"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",,,,,,16,,,,
AK1010,Alaska,AK,02,7,minimum age,youth possession,handgun,,,,,,,,,No law imposing minimum age for youth possession of handguns,1980-01-01,1980,1,1,1,,,,,H
AK1011,Alaska,AK,02,7,minimum age,purchase and sale,long gun,Restrictive,Implement,1992-09-14,,1992,9,14,Alaska Stat. § 11.61.210,A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age,,,,,,18,,,,
AK1013,Alaska,AK,02,8,open carry,not restricted,handgun,,,,,,,,,No law restricting open carry for handguns,,,,,1,,,,,
AK1014,Alaska,AK,02,11,registration,,handgun,,,,,,,,,No law requiring registration of handguns,,,,,1,,,,,
AK1015,Alaska,AK,02,7,minimum age,youth possession,handgun,Restrictive,Implement,1980-01-01,,1980,1,1,Alaska Stat. § 11.61.220(a)(3),"Alaska Stat. § 11.61.220(a)(3): A person commits the crime of misconduct involving weapons in the fifth degree if the person...being an unemancipated minor under 16 years of age, possesses a firearm, switchblade, or gravity knife without the consent of a parent or guardian of the minor.",,,,,,16,,,,
AK1016,Alaska,AK,02,7,minimum age,purchase and sale,handgun,Restrictive,Implement,1992-09-14,,1992,9,14,Alaska Stat. § 11.61.210,A person commits the crime of misconduct involving weapons in the fourth degree if the person … (6) knowingly sells a firearm or a defensive weapon to a person under 18 years of age,,,,,,18,,,,
AK1017,Alaska,AK,02,13,waiting period,,long gun,,,,,,,,,No law imposing waiting period for purchase of long guns,,,,,1,,,,,
AK1018,Alaska,AK,02,13,waiting period,,handgun,,,,,,,,,No law imposing waiting period for purchase of handguns,,,,,1,,,,,
AK1019,Alaska,AK,02,4,child access laws,negligent storage,handgun and long gun,,,,,,,,,No law imposing child access laws - negligent storage (CAP),,,,,1,,,,,
AK1020,Alaska,AK,02,5,dealer license,,long gun,,,,,,,,,No law requiring dealer license for long guns,,,,,1,,,,,
AK1021,Alaska,AK,02,11,registration,,long gun,,,,,,,,,No law requiring registration of long guns,,,,,1,,,,,
AK1022,Alaska,AK,02,1,background checks,private sales,long gun,,,,,,,,,No law requiring background checks for private sales of long guns,,,,,1,,,,,
AK1023,Alaska,AK,02,10,prohibited possessor,dvro : expanded : discretionary : discretionary surrender,handgun and long gun,Restrictive,Implement,1996-07-01,,1996,7,1,Alaska Stat. §§ 18.66.990(5); 18.66.100(c),"18.66.990(5): “household member” includes: (C) adults or minors who are dating or who have dated; (D) adults or minors who are engaged in or who have engaged in a sexual relationship.  188.66.100(c) A protective order under this section may: (6) prohibit the respondent from using or possessing a deadly weapon if the court finds the respondent was in the actual possession of or used a weapon during the commission of domestic violence;
(7) direct the respondent to surrender any firearm owned or possessed by the respondent if the court finds that the respondent was in the actual possession of or used a firearm during the commission of the domestic violence;",,,,,0,,,"Called the ""Domestic Violence Prevention and Victims Protection Act of 1996"" : Alaska law provides that protective orders issued after notice and a hearing against a household member for victims of domestic violence may direct the abuser to surrender any firearm owned or possessed if the respondent was in actual possession of or used a firearm during a domestic violence incident. ""House hold"" member is defined broadly to include former and current dating partners,  co-habitants, and family members.",,
AK1024,Alaska,AK,02,12,safety training required,,handgun,,,,,,,,,No law requiring safety training for handguns,,,,,,,,,,
AK1025,Alaska,AK,02,10,prohibited possessor,erpo,handgun and long gun,,,,,,,,,No law prohibiting possession of firearms by individuals subject to ERPO,,,,,1,,,,,
AK1026,Alaska,AK,02,10,prohibited possessor,dvro,handgun and long gun,,,,,,,,,No law prohibiting individuals subject to DVRO from possessing firearms,1996-07-01,1996,7,1,1,,,,,
AK1027,Alaska,AK,02,10,prohibited possessor,mental health,handgun and long gun,,,,,,,,,No law prohibiting individuals with mental health issues from possessing firearms,,,,,1,,,,,
